# File generated by CMD 2.2 (http://stev.oapd.inaf.it/cmd) on Sun Mar 14 15:55:16 CET 2010
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# + Bertelli et al. (1994, A&AS, 106, 275) for the Mi>7.0 Msun interval
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.00800		Age = 	3.981e+06 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	C/O	M_hec	period	pmode	logMdot	int_IMF
	6.60	35.6762199402	34.1878	5.4388	4.5499	3.6786	-8.827	-6.977	-5.832	-5.540	-5.407	-5.233	-4.836	-4.709	-4.600	0.4787	0.0000	0.3	1	-12.459	3.3362758160
	6.60	40.0000000000	37.6147	5.5622	4.5241	3.4937	-9.136	-7.417	-6.290	-6.003	-5.870	-5.694	-5.298	-5.170	-5.063	0.4787	0.0000	0.5	1	-12.417	3.3362998962
	6.60	41.3099937439	38.6598	5.5927	4.5168	3.4459	-9.212	-7.530	-6.406	-6.121	-5.990	-5.816	-5.421	-5.295	-5.188	0.4787	0.0000	0.5	1	-12.405	3.3363053799
	6.60	47.2563476562	42.8166	5.7203	4.4403	3.0567	-9.531	-8.184	-7.116	-6.859	-6.743	-6.583	-6.218	-6.103	-6.005	0.4787	0.0000	1.0	1	-12.361	3.3363232613
	6.60	49.9448776245	44.3604	5.7727	4.3837	2.7932	-9.662	-8.571	-7.540	-7.310	-7.211	-7.070	-6.734	-6.632	-6.544	0.4787	0.0000	1.7	1	-12.346	3.3363287449
	6.60	51.9687042236	42.8797	5.7999	4.2693	2.2935	-9.730	-9.079	-8.181	-8.004	-7.936	-7.832	-7.559	-7.484	-7.415	0.4787	0.0000	1.1	0	-12.360	3.3363323212
	6.60	52.1222076416	42.5847	5.8014	4.2576	2.2423	-9.733	-9.117	-8.244	-8.070	-8.005	-7.904	-7.639	-7.566	-7.500	0.4787	0.0000	1.3	0	-12.363	3.3363325596
	6.60	55.0544357300	37.5099	5.8515	4.3782	2.6196	-9.859	-8.785	-7.762	-7.534	-7.436	-7.296	-6.964	-6.863	-6.776	0.4787	0.0000	2.2	1	-12.419	3.3363366127
	6.60	55.8063812256	37.0853	5.8704	4.4043	2.7001	-9.906	-8.744	-7.685	-7.448	-7.344	-7.198	-6.850	-6.744	-6.652	0.4787	0.0000	1.9	1	-12.423	3.3363375664
	6.60	56.0933151245	36.9088	5.9010	4.4695	2.9283	-9.982	-8.535	-7.435	-7.168	-7.047	-6.882	-6.504	-6.384	-6.282	0.4787	0.0000	1.3	1	-12.426	3.3363380432
	6.60	56.1008796692	36.9041	5.9003	4.4636	2.9053	-9.981	-8.551	-7.459	-7.193	-7.073	-6.909	-6.533	-6.413	-6.312	0.4787	0.0000	1.3	1	-12.426	3.3363380432
	6.60	56.1030883789	36.9028	5.9006	4.4600	2.8903	-9.981	-8.563	-7.476	-7.211	-7.090	-6.927	-6.553	-6.434	-6.333	0.4787	0.0000	1.3	1	-12.426	3.3363380432
	6.60	56.1047668457	36.9017	5.9014	4.4567	2.8764	-9.984	-8.575	-7.492	-7.228	-7.108	-6.945	-6.572	-6.453	-6.353	0.4787	0.0000	1.4	1	-12.426	3.3363380432
	6.60	56.1063957214	36.9007	5.9024	4.4529	2.8603	-9.986	-8.589	-7.511	-7.248	-7.128	-6.965	-6.594	-6.476	-6.376	0.4787	0.0000	1.4	1	-12.426	3.3363380432
	6.60	56.1080780029	36.8997	5.9032	4.4486	2.8424	-9.988	-8.606	-7.533	-7.271	-7.152	-6.990	-6.620	-6.503	-6.404	0.4787	0.0000	1.5	1	-12.426	3.3363380432
	6.60	56.1091804504	36.8990	5.9037	4.4457	2.8300	-9.989	-8.620	-7.549	-7.289	-7.171	-7.010	-6.642	-6.525	-6.427	0.4787	0.0000	1.5	1	-12.426	3.3363380432
	6.60	56.1102828979	36.8983	5.9042	4.4426	2.8174	-9.990	-8.635	-7.565	-7.307	-7.190	-7.030	-6.664	-6.548	-6.450	0.4787	0.0000	1.5	1	-12.426	3.3363380432
	6.60	56.1113815308	36.8976	5.9045	4.4395	2.8045	-9.991	-8.650	-7.582	-7.326	-7.209	-7.051	-6.686	-6.571	-6.473	0.4787	0.0000	1.6	1	-12.426	3.3363380432
	6.60	56.1124877930	36.8969	5.9048	4.4363	2.7912	-9.992	-8.666	-7.599	-7.344	-7.229	-7.072	-6.709	-6.594	-6.497	0.4787	0.0000	1.6	1	-12.426	3.3363380432
	6.60	56.1135902405	36.8963	5.9050	4.4328	2.7773	-9.993	-8.682	-7.617	-7.364	-7.250	-7.094	-6.733	-6.619	-6.522	0.4787	0.0000	1.6	1	-12.426	3.3363380432
	6.60	56.1146850586	36.8956	5.9053	4.4293	2.7630	-9.993	-8.699	-7.635	-7.384	-7.271	-7.116	-6.757	-6.644	-6.548	0.4787	0.0000	1.7	1	-12.426	3.3363380432
	6.60	56.1157875061	36.8949	5.9054	4.4255	2.7476	-9.994	-8.716	-7.655	-7.406	-7.295	-7.141	-6.784	-6.672	-6.576	0.4787	0.0000	1.7	1	-12.426	3.3363380432
	6.60	56.1168861389	36.8875	5.9056	4.4215	2.7311	-9.994	-8.739	-7.677	-7.431	-7.321	-7.169	-6.813	-6.703	-6.608	0.4787	0.0000	1.8	1	-12.426	3.3363380432
	6.60	56.1179885864	36.8802	5.9058	4.4170	2.7132	-9.994	-8.763	-7.702	-7.459	-7.350	-7.199	-6.846	-6.736	-6.642	0.4787	0.0000	1.8	1	-12.426	3.3363380432
	6.60	56.1190872192	36.8728	5.9059	4.4122	2.6937	-9.995	-8.790	-7.730	-7.489	-7.382	-7.233	-6.881	-6.773	-6.680	0.4787	0.0000	1.9	1	-12.426	3.3363380432
	6.60	56.1196060181	36.8693	5.9059	4.4095	2.6829	-9.995	-8.804	-7.745	-7.505	-7.399	-7.251	-6.901	-6.794	-6.701	0.4787	0.0000	1.9	1	-12.426	3.3363380432
	6.60	56.1201858521	36.8654	5.9059	4.4068	2.6718	-9.995	-8.819	-7.760	-7.522	-7.417	-7.270	-6.921	-6.815	-6.722	0.4787	0.0000	2.0	1	-12.426	3.3363380432
	6.60	56.1207084656	36.8619	5.9060	4.4038	2.6599	-9.995	-8.836	-7.777	-7.540	-7.437	-7.291	-6.943	-6.837	-6.745	0.4787	0.0000	2.0	1	-12.426	3.3363380432
	6.60	56.1212844849	36.8580	5.9060	4.4007	2.6472	-9.995	-8.853	-7.794	-7.560	-7.457	-7.313	-6.966	-6.861	-6.770	0.4787	0.0000	2.0	1	-12.426	3.3363380432
