File created on Friday 20th of July 2012 03:07:09 AM
Name           HD      RA            DEC           Magn
HD 80459       80459   +09 16 55.6   -63 46 30.5   7.39
NS Vel         72384   +08 31 05.9   -39 03 39.5   7.40
OZ Nor         148259  +16 28 49.9   -44 48 45.4   7.42
HD 151113      151113  +16 47 30.3   -45 27 37.9   7.43
HD 163007      163007  +17 56 13.4   -46 42 07.7   7.45
HD 152541      152541  +16 56 14.5   -46 50 57.9   7.45
HD 165063      165063  +18 05 44.6   -36 34 46.1   7.46
HD 20134       20134   +03 16 59.8   +60 04 03.0   7.47
LZ Del         192954  +20 17 09.8   +15 52 21.6   7.48
HD 164050      164050  +18 01 11.3   -40 20 07.9   7.50
HD 99467       99467   +11 26 01.4   -59 21 10.3   7.51
HD 160648      160648  +17 43 24.3   -46 35 16.6   7.52
V2155 Cyg      204116  +21 24 30.3   +55 22 00.2   7.55
V510 Car       91269   +10 30 33.7   -61 20 11.3   7.56
HD 154218      154218  +17 05 43.0   -36 44 25.9   7.57
[SC96] Mis 50  0       +16 30 60.0   -46 28 48.0   7.58
HD 127756      127756  +14 35 33.3   -61 00 29.8   7.59
HD 146444      146444  +16 18 39.4   -49 24 50.0   7.60
HD 153262      153262  +17 01 54.1   -59 02 51.3   7.61
V2162 Cyg      204722  +21 29 14.8   +44 20 17.3   7.63
V439 Cep       209145  +21 59 19.7   +60 17 51.6   7.67
LV Mus         117111  +13 29 54.6   -65 30 07.2   7.68
CP Cir         130287  +14 50 34.2   -66 15 33.7   7.70
V1008 Cen      127449  +14 33 36.8   -58 49 14.9   7.71
V353 Car       97151   +11 10 02.3   -60 05 42.5   7.72
HD 147302      147302  +16 24 01.3   -55 27 13.4   7.72
HD 79206       79206   +09 10 42.0   -53 02 44.9   7.73
HV Lup         137518  +15 28 17.4   -45 08 05.9   7.75
HD 53667       53667   +07 05 35.2   -08 43 44.0   7.76
V396 Vul       187851  +19 51 04.7   +27 43 00.9   7.76
HD 55014       55014   +07 10 46.1   -11 34 26.6   7.77
V373 Pup       59497   +07 29 28.0   -21 51 31.0   7.78
HD 59498       59498   +07 29 22.8   -21 52 09.2   7.79
V426 Pup       68570   +08 11 54.8   -30 12 42.8   7.80
V1295 Aql      190073  +20 03 02.5   +05 44 16.7   7.82
V763 Mon       60757   +07 35 57.8   -03 22 05.9   7.83
V744 Mon       50868   +06 55 13.6   +05 26 02.4   7.85
DK Cru         106309  +12 14 01.8   -59 23 48.8   7.86
HD 64831       64831   +07 52 22.3   -59 29 35.2   7.87
V480 Car       81654   +09 24 39.5   -58 41 20.5   7.88
HD 53048       53048   +07 00 10.4   -56 54 25.2   7.89
HD 13669       13669   +02 15 02.6   +55 47 35.6   7.90
HD 119682      119682  +13 46 32.6   -62 55 24.1   7.91
HD 120330      120330  +13 50 26.1   -59 44 52.8   7.91
HD 118094      118094  +13 36 21.0   -63 08 44.5   7.92
V1063 Sco      150093  +16 40 42.5   -41 07 37.1   7.93
HD 232552      232552  +01 52 26.1   +55 19 53.8   7.94
HD 172158      172158  +18 39 30.2   -21 57 56.0   7.95
HD 91273       91273   +10 30 06.8   -68 33 07.3   7.96
HD 83032       83032   +09 33 30.7   -58 23 10.5   7.97
HD 103574      103574  +11 55 21.7   -63 42 12.8   7.98
HD 166566      166566  +18 11 50.9   -15 40 47.5   7.99
gam Ara        157246  +17 25 23.7   -56 22 39.8   3.31
bet Psc        217891  +23 03 52.6   +03 49 12.2   4.49
omi Aqr        209409  +22 03 18.8   -02 09 19.3   4.70
31 Peg         212076  +22 21 31.1   +12 12 18.7   4.81
iot Ara        157042  +17 23 16.1   -47 28 05.5   5.25
QV Tel         167128  +18 17 07.5   -56 01 24.1   5.33
V4024 Sgr      178175  +19 08 16.7   -19 17 25.0   5.57
228 Eri        28497   +04 29 06.9   -13 02 54.1   5.59
HD 171780      171780  +18 35 13.5   +34 27 28.9   6.09
HD 216057      216057  +22 48 47.9   +54 24 53.6   6.13
V3894 Sgr      161756  +17 48 27.8   -26 58 29.8   6.35
V801 Cas       19243   +03 08 54.2   +62 23 04.5   6.50
V4045 Sgr      166469  +18 11 58.2   -28 54 05.5   6.52
HD 224544      224544  +23 58 49.2   +32 22 54.1   6.52
LQ And         224559  +23 58 46.4   +46 24 47.4   6.54
HD 183339      183339  +19 25 46.8   +58 01 38.4   6.58
KY And         218674  +23 09 16.7   +49 39 02.2   6.76
NT Peg         203699  +21 23 35.4   +14 03 00.6   6.86
HD 179343      179343  +19 12 03.3   +02 37 21.3   6.95
HD 175511      175511  +18 52 02.2   +59 40 01.3   6.95
KX And         218393  +23 07 06.2   +50 11 32.5   7.02
EM Cep         208392  +21 53 48.1   +62 36 51.9   7.03
HD 9709        9709    +01 36 03.1   +47 06 52.1   7.05
V742 Cas       698     +00 11 37.1   +58 12 42.6   7.08
V2113 Cyg      193009  +20 16 48.2   +32 22 47.4   7.16
HD 184767      184767  +19 36 01.0   +00 14 58.8   7.18
HD 177648      177648  +19 04 38.5   +23 19 45.4   7.23
HD 189689      189689  +20 00 07.1   +32 47 22.8   7.28
V448 Sct       170714  +18 31 08.6   -05 47 22.3   7.38
HD 171219      171219  +18 33 17.8   +05 26 43.9   7.65
HD 176630      176630  +19 01 27.3   -06 11 33.3   7.70
V818 Cas       223501  +23 49 53.1   +62 12 50.7   7.74
HD 190864      190864  +20 05 39.8   +35 36 28.0   7.79
V447 Sct       173219  +18 44 33.3   -07 06 38.2   7.88
V4400 Sgr      171348  +18 35 20.5   -22 05 27.4   7.95
V423 Lac       216851  +22 55 47.1   +43 33 33.4   7.97
ACHERNAR       10144   +01 37 42.8   -57 14 12.3   0.50
del Sco        143275  +16 00 20.0   -22 37 18.2   2.29
gam Cas        5394    +00 56 42.5   +60 43 00.3   2.39
PHECDA         103287  +11 53 49.8   +53 41 41.1   2.43
zet Oph        149757  +16 37 09.5   -10 34 01.5   2.58
ALCYONE        23630   +03 47 29.1   +24 06 18.5   2.87
ALFIRK         205021  +21 28 39.6   +70 33 38.6   3.22
eps Cas        11415   +01 54 23.7   +63 40 12.4   3.34
p Car          91465   +10 32 01.5   -61 41 07.2   3.36
eta Ori        35411   +05 24 28.6   -02 23 49.7   3.38
SHELIAK        174638  +18 50 04.8   +33 21 45.6   3.52
omi And        217675  +23 01 55.3   +42 19 33.5   3.63
ELECTRA        23302   +03 44 52.5   +24 06 48.0   3.71
omi Her        166014  +18 07 32.6   +28 45 45.0   3.84
kap Dra        109387  +12 33 28.9   +69 47 17.7   3.88
nu Cyg         199629  +20 57 10.4   +41 10 01.7   3.94
48 Per         25940   +04 08 39.7   +47 42 45.0   4.00
Menkhib        24912   +03 58 57.9   +35 47 27.7   4.04
tet CrB        138749  +15 32 55.8   +31 21 32.9   4.15
MEROPE         23480   +03 46 19.6   +23 56 54.1   4.16
eps PsA        214748  +22 40 39.3   -27 02 37.0   4.18
lam Eri        33328   +05 09 08.8   -08 45 14.7   4.25
phi And        6811    +01 09 30.1   +47 14 30.5   4.25
bet Hya        103192  +11 52 54.5   -33 54 29.2   4.28
psi Per        22192   +03 36 29.4   +48 11 33.5   4.31
j Cen          102776  +11 49 41.1   -63 47 18.5   4.31
2 Ori          30739   +04 50 36.7   +08 54 00.6   4.35
chi Oph        148184  +16 27 01.4   -18 27 22.5   4.42
ups Cyg        202904  +21 17 55.1   +34 53 48.8   4.43
V863 Cen       105382  +12 08 05.2   -50 39 40.6   4.45
phi Leo        98058   +11 16 39.7   -03 39 05.8   4.47
omi Cas        4180    +00 44 43.5   +48 17 03.7   4.48
eps Cap        205637  +21 37 04.8   -19 27 57.6   4.50
2 Cet          225132  +00 03 44.4   -17 20 09.6   4.54
ome Ori        37490   +05 39 11.1   +04 07 17.3   4.57
ups Sgr        181615  +19 21 43.6   -15 57 17.7   4.58
bet Mon A      45725   +06 28 49.1   -07 01 59.0   4.60
A Cen          100673  +11 34 45.7   -54 15 50.7   4.61
15 Mon         47839   +06 40 58.7   +09 53 44.7   4.66
BK Cam         20336   +03 19 59.3   +65 39 08.3   4.73
59 Cyg         200120  +20 59 49.6   +47 31 15.4   4.74
I Hya          83953   +09 41 17.0   -23 35 29.5   4.75
QR Vul         192685  +20 15 15.9   +25 35 31.0   4.76
66 Oph         164284  +18 00 15.8   +04 22 07.0   4.78
pi Aqr         212571  +22 25 16.6   +01 22 38.6   4.79
