n°HD  RA_h RA_m RA_s  DEC_d DEC_m DEC_s  Mv
79957  19 12 04.6  49 51 15  6.75
79958  19 12 05.0  49 51 22  6.57
79982  12 24 44.7  -41 23 3  6.25
80006  19 11 40.5  56 51 33  5.12
80024  9 18 26.0  35 21 51  5.75
80064  9 17 51.4  11 30 4  6.41
80081  9 18 50.7  36 48 9  3.82
80081  21 53 36.0  -10 18 42  6.59
80163  19 13 45.5  39 8 46  4.39
80242  19 15 02.6  20 12 12  6.00
80290  9 20 43.8  51 15 58  6.13
80317  19 15 17.4  21 13 56  5.64
80390  9 21 43.3  56 41 57  5.47
80441  9 20 59.3  38 11 18  6.12
80450  19 15 24.8  30 31 35  5.85
80493  9 21 03.3  34 23 33  3.13
80542  12 25 17.3  -65 46 14  6.30
80546  9 21 27.2  32 54 7  6.16
80553  19 15 57.0  27 27 20  6.54
80554  19 16 13.0  21 23 25  4.77
80583  19 15 59.4  27 55 37  6.16
80610  19 13 55.2  57 42 18  4.99
80613  9 21 15.4  15 22 16  6.53
80632  12 25 08.5  -42 30 52  6.11
80711  19 12 33.3  67 39 42  3.07
80756  19 15 19.3  50 4 15  6.27
80777  19 9 09.8  76 33 38  5.13
80809  19 16 22.1  38 8 1  4.36
80930  9 27 51.6  75 5 54  6.29
80953  9 25 44.2  63 56 27  6.28
80956  9 23 31.8  25 10 59  6.41
80968  19 17 43.6  23 1 32  5.43
81025  9 24 55.7  51 34 26  6.31
81039  9 24 22.5  36 35 13  6.67
81071  12 25 11.7  -11 36 37  5.95
81081  21 53 37.4  19 40 6  5.68
81096  19 16 51.4  46 59 57  6.00
81101  12 25 18.4  -27 44 57  6.09
81101  21 53 57.8  6 51 52  6.15
81111  21 54 10.4  -4 16 34  5.71
81119  19 18 00.8  31 1 20  6.68
81142  12 25 21.8  -35 11 11  5.73
81146  9 24 39.3  26 10 56  4.46
81276  19 17 06.2  53 22 7  3.77
81361  9 25 32.5  16 35 8  6.29
81409  19 19 03.8  33 23 20  6.60
81470  19 19 01.2  37 26 43  6.22
81492  21 56 14.0  -57 53 58  6.19
81597  19 18 37.7  49 34 11  6.31
81655  19 19 38.9  37 19 50  6.31
81688  9 28 40.0  45 36 5  5.41
81771  21 54 35.9  -3 18 4  6.20
81790  9 29 47.6  55 44 44  6.45
81817  9 37 05.2  81 19 35  4.29
81828  19 20 33.1  35 11 10  6.31
81937  9 31 31.7  63 3 43  3.67
81960  19 19 36.5  54 22 34  6.26
81984  19 15 33.0  73 21 20  4.45
82021  21 54 17.4  19 43 6  6.39
82087  9 30 43.2  33 39 20  5.85
82189  9 34 53.6  72 12 20  5.72
82190  19 20 16.1  57 38 43  5.91
82198  9 31 32.4  35 6 11  5.37
82210  9 34 28.9  69 49 49  4.56
82255  19 22 50.9  26 15 45  5.18
82272  19 22 33.4  33 31 5  6.06
82308  9 31 43.2  22 58 5  4.31
82308  19 19 46.1  64 23 27  6.52
82327  9 36 06.8  74 19 4  6.46
82328  9 32 51.4  51 40 38  3.17
82380  9 33 07.2  49 26 19  6.76
82395  9 31 56.7  11 17 59  4.97
82422  19 23 46.9  20 15 52  6.40
82440  19 21 25.4  57 46 1  6.43
82482  12 26 35.9  -63 5 57  1.33
82488  19 23 34.0  33 13 20  6.37
82502  12 26 30.9  -63 7 21  4.86
82522  9 33 30.3  36 29 13  6.18
82523  9 33 18.3  28 22 5  6.53
82564  19 20 40.1  65 42 53  4.59
82568  19 24 07.6  29 37 17  4.97
82572  12 26 31.6  -51 27 3  4.82
82582  9 34 19.6  46 54 8  6.52
82618  19 24 22.4  28 5 16  6.53
82621  9 34 49.5  52 3 5  4.50
82635  9 34 13.4  36 23 51  4.55
82635  19 24 06.1  36 27 7  6.36
82670  9 33 59.1  23 27 14  6.25
82685  9 37 56.2  73 4 50  6.42
82691  19 23 23.8  50 16 17  6.51
82694  19 23 56.5  43 23 17  5.84
82741  9 35 03.8  39 37 17  4.81
82761  19 25 22.4  20 16 17  6.31
82780  9 35 22.4  39 57 48  6.76
82807  19 25 25.8  24 54 46  6.19
82852  21 55 55.6  -30 36 23  6.41
82885  9 35 39.6  35 48 37  5.41
83023  9 35 52.9  14 22 47  6.36
83030  17 16 56.8  89 2 16  6.38
83056  19 26 09.1  36 19 4  5.15
83069  9 36 42.9  31 9 42  5.56
83092  12 26 48.2  -48 54 48  6.26
83126  9 39 27.9  67 16 20  5.94
83189  9 37 02.6  16 26 16  5.69
83212  21 56 22.8  -37 15 13  5.46
83232  12 26 51.7  -32 49 48  5.55
83287  9 38 21.7  40 14 23  5.25
83339  19 25 46.7  58 1 38  6.60
83362  19 27 36.5  37 56 28  6.34
83439  19 28 42.3  24 39 54  4.44
83489  9 42 14.8  69 14 15  5.69
83491  19 28 57.0  24 46 7  5.81
83506  9 42 57.2  72 15 9  5.17
83534  19 27 25.9  52 19 14  5.75
83537  19 29 20.9  20 16 47  6.33
83550  9 45 30.8  78 8 5  6.23
83552  12 27 24.6  -63 47 21  6.00
83611  19 26 26.5  62 33 26  6.38
83727  9 47 18.0  79 8 12  6.17
83787  9 41 35.2  31 16 41  5.89
83805  9 42 00.3  39 45 28  5.62
83808  9 41 09.0  9 53 32  3.52
83821  9 41 38.5  25 54 46  6.24
83869  9 42 43.1  48 25 52  6.39
83886  9 43 07.0  54 21 49  6.47
83912  19 30 43.3  27 57 35  3.08
83914  19 30 45.3  27 57 55  5.11
83951  9 42 42.7  35 5 36  6.14
83962  9 44 36.7  64 59 2  6.17
83962  12 27 28.7  -58 59 31  5.50
83986  19 30 46.9  36 13 43  6.25
84006  19 29 42.3  51 43 47  3.79
84010  19 31 21.8  26 37 2  5.87
84102  19 21 40.2  79 36 10  6.05
84107  9 43 33.3  29 58 28  5.64
84146  19 15 07.8  83 27 46  6.53
84171  19 31 46.3  34 27 11  4.74
84179  9 45 55.4  63 39 12  6.34
84194  9 43 43.9  14 1 18  5.35
84252  9 44 30.0  18 51 49  6.50
84293  19 31 19.3  50 18 24  5.53
84335  9 46 31.7  57 7 41  5.2
84352  21 57 02.2  -37 44 49  6.18
84398  19 31 13.6  55 43 55  6.37
84441  9 45 51.1  23 46 27  2.98
84502  21 57 55.1  -54 59 33  4.40
84561  9 46 23.3  11 48 36  5.63
84603  19 33 36.4  38 45 44  6.61
84711  12 27 42.1  8 36 37  6.37
84722  9 47 25.9  11 34 6  6.45
84737  9 48 35.4  46 1 16  5.09
84748  9 47 33.5  11 25 44  6.02
84759  19 34 50.9  29 27 47  5.38
84771  12 27 49.4  -16 37 55  6.35
84786  19 33 41.6  49 15 45  5.96
84812  9 50 23.7  65 35 36  6.31
84832  12 28 02.4  -50 13 50  3.91
84875  19 34 41.2  42 24 46  5.35
84936  19 33 10.1  60 9 31  6.29
84958  19 31 00.2  70 59 22  6.07
84960  19 34 19.8  51 14 12  5.73
84961  19 36 08.3  22 35 9  6.32
84962  21 58 30.1  -59 0 44  6.12
84977  19 34 39.9  48 9 53  6.67
84999  9 50 59.4  59 2 19  3.80
85002  22 1 52.1  -77 39 45  6.41
85012  12 28 18.9  -64 20 29  6.04
85037  19 35 48.3  36 56 40  6.05
85040  9 49 50.1  21 10 46  6.09
85059  19 36 37.7  20 19 58  7.14
85061  12 27 51.6  -4 36 55  6.22
85144  19 32 21.6  69 39 40  4.68
85235  9 52 06.4  54 3 52  4.59
85264  19 35 55.9  50 14 19  6.52
85268  9 51 02.0  13 3 58  6.46
85268  19 37 09.4  29 20 1  6.43
85302  12 28 25.5  -61 47 43  6.22
85330  19 36 56.6  38 23 2  6.50
85351  19 36 37.9  44 41 42  5.17
85376  9 51 53.0  24 23 43  5.32
85395  19 36 26.5  50 13 16  4.48
85412  12 28 22.5  -39 2 29  5.44
85436  19 38 17.5  20 46 58  6.48
85503  9 52 45.8  26 0 25  3.88
85583  9 55 03.4  61 6 58  6.27
85651  21 56 56.4  12 4 35  5.54
85657  19 37 56.7  49 17 4  6.47
85702  12 28 33.4  -56 24 28  6.15
85734  19 39 22.6  30 9 12  4.69
85795  9 55 43.0  49 49 12  5.27
85837  19 39 45.0  33 58 45  6.10
85841  9 58 22.8  72 52 46  5.83
85859  19 40 28.3  20 28 36  6.50
85872  19 39 26.5  42 49 6  5.40
85912  19 38 41.2  54 58 26  5.82
85915  19 40 39.7  23 43 3  6.64
85945  9 57 13.6  57 25 6  5.93
85955  19 39 34.4  45 57 29  6.20
86021  19 41 14.9  22 27 10  6.36
86121  19 40 41.2  43 4 40  6.16
86146  9 57 41.1  41 3 20  5.14
86155  19 40 50.2  45 31 30  5.06
86166  9 57 56.9  45 24 52  6.30
86307  19 41 57.5  40 15 14  6.23
86321  10 8 34.3  83 55 6  6.37
86340  19 40 13.0  60 30 26  6.51
86357  19 42 49.1  29 19 54  6.49
86358  9 58 26.1  27 45 32  6.30
86360  9 58 13.4  12 26 41  5.26
86377  19 42 44.6  32 25 36  5.94
86378  9 59 51.7  56 48 43  5.48
86408  19 41 48.9  50 31 31  5.96
86427  19 41 52.0  50 31 3  6.20
86440  19 43 09.5  30 40 43  6.05
86486  19 43 42.9  25 46 19  5.49
86513  9 59 36.2  29 38 43  5.73
86518  19 43 55.9  27 8 8  6.28
86532  19 42 04.1  55 27 48  6.48
86568  19 43 51.4  34 9 45  6.05
86619  19 43 45.0  41 46 23  5.84
86675  19 44 16.6  37 21 16  4.89
86688  19 44 48.7  29 15 53  6.82
86702  19 44 38.2  34 24 50  6.57
86728  10 1 00.7  31 55 25  5.36
86760  19 43 14.6  58 0 59  6.22
86776  19 44 49.0  40 43 0  6.34
86815  19 43 39.6  57 2 33  6.27
86882  19 44 58.5  45 7 51  2.87
86901  19 45 39.6  36 5 28  6.43
86927  19 45 51.4  35 0 46  6.09
86998  19 46 39.5  25 8 2  6.62
87013  19 46 25.6  33 43 40  4.99
87015  10 2 48.9  21 56 57  5.66
87031  21 58 13.3  -5 25 29  6.33
87038  19 46 35.0  32 53 19  6.18
87141  10 4 36.3  53 53 30  5.74
87193  19 47 48.6  25 23 2  5.95
87235  19 47 27.8  38 24 27  5.77
87243  10 5 10.5  52 22 15  6.14
87322  12 29 53.9  -56 31 29  5.80
87340  19 44 18.5  69 20 13  5.92
87351  21 58 43.8  -21 10 58  6.12
87372  19 47 26.8  47 54 28  6.12
87372  21 59 17.9  -38 23 43  5.50
87412  22 3 03.8  -76 7 7  5.95
87458  19 48 43.9  35 18 41  6.53
87459  19 48 50.6  33 26 14  6.44
87500  10 5 40.9  15 45 27  6.37
87592  12 29 57.9  -41 44 10  6.02
87638  19 49 27.5  38 42 36  6.11
87640  19 49 54.6  28 26 26  6.38
87671  12 29 51.9  -16 30 56  2.95
87696  10 7 25.8  35 14 41  4.48
87737  10 7 20.0  16 45 46  3.52
87764  19 46 44.7  68 26 18  6.34
87796  19 50 33.9  32 54 51  4.23
87811  19 51 04.1  22 36 36  4.95
87822  10 8 15.9  31 36 15  6.24
87837  10 7 54.3  9 59 51  4.37
87849  19 50 34.0  38 43 21  5.12
87879  19 50 37.3  40 35 59  5.69
87880  19 50 47.0  37 49 35  6.06
87901  10 8 22.3  11 58 2  1.35
87962  22 0 24.1  -55 52 58  6.01
87982  19 52 01.6  24 59 32  5.57
87991  12 30 04.8  -13 23 35  6.35
88011  21 58 55.0  -4 22 23  6.22
88056  19 50 37.7  52 59 17  5.03
88074  19 51 19.4  47 22 38  6.20
88119  19 48 10.4  70 16 4  3.83
88149  19 52 16.3  36 25 56  6.10
88161  10 10 58.9  40 39 41  6.32
88209  19 51 59.1  47 1 39  5.62
88211  12 30 17.5  -23 41 48  5.63
88231  10 11 12.8  37 24 7  5.85
88252  19 52 07.2  47 55 55  5.91
88260  19 53 27.7  24 4 47  4.58
88355  10 11 38.2  13 21 18  6.44
88439  19 53 01.2  47 48 27  6.29
88485  19 54 31.1  24 19 10  5.52
88639  10 13 49.8  27 8 9  6.04
88650  19 54 48.3  36 59 46  5.76
88651  10 15 07.7  59 59 8  6.25
88651  19 55 06.5  30 11 43  6.57
88665  19 53 17.4  57 31 25  5.14
88737  10 14 29.7  21 10 4  6.02
88786  10 15 06.3  31 28 5  6.46
88793  19 53 35.4  59 42 32  6.06
88815  10 18 01.1  73 4 24  6.40
88849  10 17 50.6  71 3 38  6.66
88892  19 55 51.7  38 29 12  4.94
88947  19 56 18.4  35 5 0  3.89
88960  10 16 14.4  29 18 38  5.35
88971  19 57 00.2  20 59 53  6.48
88983  10 18 02.0  65 6 30  5.82
88986  10 16 28.1  28 40 57  6.49
88987  10 16 16.1  17 44 25  6.55
89010  10 16 32.3  23 30 11  5.97
89021  10 17 05.8  42 54 52  3.45
89024  10 16 41.9  25 22 17  5.84
89025  10 16 41.4  23 25 2  3.44
89032  12 31 09.9  -57 6 48  1.63
89037  19 55 37.8  52 26 20  4.92
89056  10 16 40.7  13 43 42  5.41
89066  19 56 44.2  36 15 3  6.02
89125  10 17 14.6  23 6 22  5.82
89127  19 55 22.1  58 15 1  6.09
89178  19 57 13.9  40 22 5  5.45
89239  10 18 10.3  27 24 55  6.52
89252  12 31 16.7  -57 4 52  6.42
89253  19 56 45.1  50 54 9  6.43
89268  10 18 59.0  46 45 39  6.43
89276  19 55 55.4  58 50 46  4.96
89296  19 56 19.0  56 41 13  6.12
89319  10 19 26.8  48 23 49  6.00
89343  10 21 03.4  68 44 51  5.96
89344  10 19 00.7  24 42 42  6.40
89377  19 57 56.2  42 15 39  6.43
89389  10 20 14.8  53 46 45  6.45
89395  19 58 38.0  30 59 1  5.49
89410  19 59 10.5  23 6 5  5.67
89414  10 20 31.2  54 13 1  6.00
89432  19 58 34.4  38 6 20  6.32
89449  10 19 44.1  19 28 15  4.79
89484  10 19 58.3  19 50 30  2.61
89485  10 19 58.6  19 50 26  3.80
89571  10 29 41.5  84 15 8  5.50
89682  12 31 40.3  -59 25 26  5.48
89684  19 59 20.5  45 46 20  5.92
89687  19 59 55.2  37 2 34  5.19
89702  12 32 10.0  -73 0 6  5.88
89744  10 22 10.5  41 13 46  5.76
89758  10 22 19.7  41 29 58  3.05
89774  10 21 50.3  14 58 32  6.12
89775  19 59 15.4  52 3 21  6.15
89822  10 24 07.9  65 33 59  4.97
89849  20 1 06.1  27 45 13  4.64
89851  12 31 21.4  7 36 15  6.05
89900  19 58 28.7  63 32 3  5.96
89904  10 23 06.3  33 54 29  5.90
89942  20 1 15.3  37 5 56  6.20
89944  20 1 44.7  24 48 1  5.88
89993  10 23 41.8  29 36 57  6.39
90002  12 31 55.8  -63 30 22  5.95
90004  20 2 01.4  24 56 17  5.22
90040  10 24 08.6  33 43 7  5.50
90081  22 0 07.9  6 43 3  6.00
90089  10 31 04.6  82 33 31  5.26
90141  12 31 38.7  -5 3 9  6.19
90141  22 0 50.2  -28 27 13  5.42
90147  20 1 21.6  50 6 17  5.05
90252  19 58 41.9  70 22 1  6.33
90262  12 32 28.0  -72 7 59  3.87
90277  10 25 54.9  33 47 46  4.74
90360  20 3 37.4  29 53 48  5.71
90470  10 27 28.0  41 36 3  6.02
90472  10 27 00.5  19 21 52  6.15
90508  10 28 03.8  48 47 5  6.44
90537  10 27 53.0  36 42 26  4.21
90544  20 1 28.5  64 49 16  5.27
90569  10 27 39.0  9 45 45  6.04
90590  20 4 58.6  23 12 37  6.45
90602  10 28 36.5  45 12 44  6.35
90603  20 4 36.1  32 13 7  5.64
90633  10 29 54.3  65 37 34  6.32
90713  20 2 20.3  64 38 4  6.57
90742  12 32 04.5  -32 32 1  6.46
90745  10 30 26.6  64 15 27  6.12
90771  20 5 09.8  38 28 42  6.19
90781  20 4 28.8  48 13 47  6.16
90839  10 30 37.6  55 58 50  4.84
90840  10 30 06.4  38 55 31  5.77
90851  12 32 04.2  -16 11 46  4.31
90940  20 2 49.1  67 52 25  4.51
90960  19 59 36.6  76 28 53  6.20
90964  20 5 06.7  51 50 22  6.14
90993  20 6 53.4  23 36 52  5.07
91002  22 3 21.6  -56 47 10  4.69
91026  20 6 21.8  35 58 21  5.36
91075  10 36 01.7  80 29 40  6.52
91096  20 5 21.5  56 20 29  6.21
91130  10 31 51.4  32 22 46  5.90
91174  20 4 44.6  63 53 26  6.26
91190  10 35 05.5  75 42 47  4.84
91195  20 6 13.8  53 9 57  5.85
91232  10 32 11.8  14 8 14  5.46
91243  20 7 41.4  34 25 23  6.11
91277  20 5 32.8  61 59 44  5.39
91281  22 1 05.0  0 36 18  5.58
91311  10 33 43.6  53 29 51  6.45
91312  10 33 13.9  40 25 32  4.75
91329  20 7 11.5  50 13 45  6.54
91365  10 33 30.9  34 59 19  5.58
91372  20 4 53.3  68 1 38  6.28
91411  12 32 36.0  -13 51 33  5.74
91480  10 35 09.7  57 4 58  5.16
91570  20 9 56.6  20 54 55  6.48
91610  20 9 25.6  36 50 23  4.93
91661  22 1 05.4  13 7 11  5.60
91671  22 1 09.2  8 15 26  5.65
91747  20 10 33.5  26 54 15  5.52
91752  10 36 21.4  36 19 37  6.28
91814  20 11 03.5  21 8 5  6.22
91877  20 11 21.1  21 52 32  6.26
92004  20 11 48.0  26 48 32  5.49
92044  20 12 00.7  26 28 44  5.92
92095  10 39 05.7  53 40 6  5.52
92125  10 38 43.2  31 58 34  4.71
92168  10 39 07.6  37 54 36  5.85
92171  12 33 02.9  10 17 44  6.26
92276  20 12 03.8  47 44 13  6.92
92342  20 13 40.6  24 14 20  6.56
92354  10 41 48.3  68 26 36  5.75
92381  12 33 22.4  -19 47 31  6.26
92401  22 2 11.9  -17 54 13  6.28
92424  10 41 56.6  65 42 59  5.12
92439  20 12 31.8  51 27 49  6.01
92455  20 11 34.9  62 4 43  5.75
92514  20 13 18.0  46 48 57  4.83
92518  20 14 14.5  28 41 41  5.18
92523  10 43 04.1  69 4 34  5.00
92535  20 13 42.8  43 22 45  6.14
92538  20 14 05.0  36 36 19  6.45
92577  20 13 37.9  46 44 29  3.79
92620  10 42 11.3  31 41 49  6.02
92640  20 14 32.0  36 48 23  4.97
92659  20 14 21.6  42 6 13  6.71
92685  20 15 15.9  25 35 31  4.78
92696  20 13 23.9  56 34 4  4.30
92713  20 15 30.2  23 30 31  5.15
92721  12 33 34.3  -12 49 49  5.58
92728  10 43 43.3  57 11 57  5.80
92769  10 43 01.8  26 19 32  5.51
92781  20 13 27.7  60 38 26  5.79
92781  22 2 26.6  -16 57 51  6.37
92787  10 43 32.9  46 12 14  5.18
92787  20 15 23.7  33 43 46  5.66
92806  20 15 46.1  27 48 51  4.52
92825  10 43 25.0  23 11 18  5.08
92836  20 16 19.7  21 35 55  6.13
92839  10 45 04.0  67 24 41  6.00
92881  22 2 01.4  10 58 26  6.37
92907  20 8 53.3  77 42 41  4.39
92909  20 15 28.3  47 42 52  3.98
92934  20 16 03.4  38 53 52  6.27
92941  10 44 14.5  19 45 31  6.27
92944  20 16 47.1  24 40 16  5.32
92983  20 15 43.4  50 13 58  6.31
92985  20 16 00.6  45 34 46  5.91
92987  20 16 28.2  37 3 23  6.48
93091  12 33 46.8  -9 27 7  5.48
93092  20 16 55.3  40 21 54  5.24
93094  20 17 31.5  29 8 53  6.22
93122  12 33 59.2  -49 54 34  6.38
93132  10 46 22.5  57 21 57  6.34
93152  10 45 51.9  30 40 56  5.24
93217  20 17 29.1  42 43 19  6.29
93237  20 17 47.2  38 1 59  4.81
93257  10 46 24.5  18 53 29  5.49
93291  10 46 25.3  14 11 41  5.48
93322  20 18 07.0  40 43 56  5.84
93352  22 3 17.2  -29 54 15  7.10
93369  20 18 28.6  37 0 0  5.58
93370  20 18 39.1  34 58 58  5.17
93427  10 48 50.0  65 7 56  6.39
93536  20 18 49.6  46 19 22  6.45
93592  20 18 24.8  55 23 50  5.76
93621  20 19 48.3  37 7 57  6.57
93636  10 48 57.2  29 24 57  6.15
93664  20 17 31.3  66 51 14  5.93
93702  10 49 15.4  10 32 43  5.34
93702  20 20 15.2  39 24 12  6.23
93722  20 19 56.1  46 50 15  6.50
93765  10 49 53.7  27 58 26  6.04
93791  12 34 23.2  -23 23 48  2.65
93859  10 51 11.1  56 34 56  5.67
93875  10 51 23.7  59 19 12  5.58
93911  20 22 03.4  24 26 46  5.54
93944  20 20 30.4  53 35 46  6.18
93961  22 3 16.4  -6 31 21  5.54
93964  20 19 36.7  62 15 27  5.72
94069  20 22 03.0  41 7 53  6.39
94083  10 52 30.8  52 33 55  6.65
94084  10 52 31.9  52 30 13  6.44
94091  22 3 18.9  -2 9 19  4.69
94092  12 34 42.3  -44 40 24  5.77
94093  20 22 13.7  40 15 24  2.20
94097  20 22 37.4  31 15 54  6.09
94132  10 53 30.7  69 51 14  5.93
94152  20 22 05.4  45 47 42  5.58
94193  20 22 45.3  41 1 34  5.93
94220  20 22 55.5  42 59 0  6.20
94247  10 53 34.5  54 35 6  5.10
94258  20 20 06.0  68 52 49  5.55
94264  10 53 18.7  34 12 54  3.83
94298  20 21 11.4  63 58 49  5.69
94317  20 23 51.7  32 11 24  4.43
94334  10 53 58.7  43 11 24  4.71
94335  20 23 44.4  37 28 35  5.90
94480  10 54 42.2  25 29 27  6.20
94497  10 54 58.2  34 2 5  5.72
94577  20 25 40.5  21 24 35  5.66
94591  22 3 19.0  11 23 11  5.80
94600  10 55 44.4  33 30 25  5.03
94601  10 55 36.8  24 44 59  4.50
94602  10 55 37.3  24 44 56  6.30
94668  20 24 32.4  53 33 7  6.51
94669  10 56 14.5  42 0 30  6.03
94720  10 56 16.9  22 21 6  6.14
94747  10 56 34.4  25 30 0  6.35
94762  22 4 23.9  -29 55 0  6.47
94860  10 59 56.8  77 46 12  6.20
94882  20 25 05.1  59 36 0  6.44
94922  12 35 29.0  -61 50 31  6.22
94951  20 27 07.7  34 19 44  6.39
95050  20 27 34.3  38 26 25  5.62
95057  10 59 17.9  51 52 56  6.17
95066  20 26 23.5  56 38 20  6.36
95068  20 27 02.3  49 23 0  5.69
95101  12 35 06.3  18 22 38  6.56
95111  12 35 07.8  18 22 37  5.02
95128  10 59 28.0  40 25 49  5.05
95129  10 59 32.8  36 5 35  6.00
95212  11 0 14.7  45 31 34  5.47
95216  10 59 41.1  11 42 21  6.55
95221  22 4 36.8  -26 49 21  5.96
95233  11 0 25.6  51 30 7  6.43
95241  11 0 20.6  42 54 41  6.02
95256  11 1 05.8  63 25 16  6.39
95292  22 5 50.9  -59 38 10  5.62
95295  20 29 23.7  30 22 7  4.01
95310  11 0 50.4  39 12 44  5.08
95324  20 29 20.4  36 27 17  5.88
95362  12 35 45.5  -41 1 19  5.13
95418  11 1 50.5  56 22 57  2.37
95479  20 30 58.1  20 36 21  6.18
95506  20 29 59.9  45 55 43  6.41
95554  20 29 27.1  56 4 5  5.91
95556  20 30 03.5  48 57 6  4.95
95593  20 30 59.2  36 56 9  6.19
95608  11 2 19.8  20 10 47  4.42
95689  11 3 43.7  61 45 3  1.79
95692  20 31 58.2  25 48 16  6.34
95725  20 29 34.9  62 59 39  4.22
95732  12 36 01.2  -39 52 12  5.80
95774  20 31 18.8  49 13 13  5.44
95820  20 31 21.1  52 18 35  6.18
95851  12 35 58.6  -20 31 38  6.20
95934  11 4 31.2  38 14 29  6.00
95964  20 31 46.5  56 46 48  6.14
95986  20 32 52.3  43 11 30  6.60
96035  20 34 10.0  20 59 7  6.48
96093  20 33 54.2  35 15 3  4.61
96134  20 33 48.4  41 46 20  6.49
96142  20 30 00.7  72 31 54  6.27
96178  20 33 54.9  46 41 38  5.78
96251  22 4 47.4  0 54 24  5.30
96362  20 36 08.3  25 52 57  6.41
96379  20 34 50.4  51 51 15  6.11
96502  20 31 30.4  74 57 17  5.20
96504  20 37 04.7  26 27 43  5.59
96528  11 7 39.7  23 19 25  6.46
96606  20 37 31.8  31 34 21  6.32
96629  20 37 32.6  31 31 19  6.49
96642  20 37 23.6  38 19 43  6.20
96682  12 37 11.0  -69 8 8  2.69
96707  11 9 39.9  67 12 37  6.06
96724  20 38 31.3  21 12 4  4.82
96738  11 8 49.1  24 39 30  5.68
96740  20 38 31.9  24 6 58  5.04
96753  20 38 35.1  23 40 50  5.91
96787  20 28 14.6  81 25 22  5.46
96813  11 9 19.1  36 18 34  5.74
96821  20 39 10.6  21 49 2  6.08
96833  11 9 39.8  44 29 55  3.01
96834  11 9 38.5  43 12 27  5.89
96852  20 38 59.5  30 20 4  5.68
96882  22 6 06.9  -39 32 36  4.46
96925  20 29 27.5  81 5 29  5.96
97018  20 39 33.3  40 34 46  6.06
97036  20 39 23.1  45 40 1  6.58
97041  12 36 47.4  -5 49 55  5.87
97101  20 39 00.2  56 0 18  6.48
97120  20 40 36.2  29 48 19  6.08
97138  11 12 11.0  68 16 19  6.40
97139  20 40 03.1  43 27 31  5.95
97177  20 41 02.6  32 18 26  5.51
97226  20 41 00.4  39 4 56  6.51
97244  11 11 43.7  14 24 1  6.30
97302  11 12 44.5  54 53 39  6.63
97334  11 12 32.2  35 48 49  6.41
97345  20 41 25.9  45 16 49  1.25
97373  20 40 17.9  60 30 19  6.01
97392  20 41 56.5  41 43 1  5.67
97419  20 42 22.2  35 27 22  6.66
97421  12 36 58.3  17 5 22  5.68
97471  22 5 40.8  5 3 31  4.84
97501  11 13 40.2  41 5 19  6.33
97501  22 5 47.0  0 19 11  2.96
97508  20 29 03.1  83 37 32  6.19
97511  20 42 12.6  50 20 24  5.39
97572  20 43 24.2  35 35 16  6.47
97603  11 14 06.5  20 31 25  2.56
97633  11 14 14.4  15 25 46  3.34
97734  20 42 39.7  60 36 5  6.15
97752  20 44 52.5  25 16 14  4.91
97770  20 43 13.5  57 6 51  6.32
97778  11 15 12.2  23 5 44  4.63
97855  11 16 04.0  52 46 23  6.50
97872  12 37 42.2  -48 32 28  3.86
97907  11 15 51.9  13 18 27  5.32
97912  20 45 39.7  30 43 11  4.22
97937  11 15 57.8  12 50 41  6.67
97939  20 44 22.0  56 29 17  5.78
97950  20 43 11.0  66 39 27  5.58
97989  11 16 41.9  49 28 35  5.88
97989  20 46 12.7  33 58 13  2.46
97991  12 37 42.2  -27 8 20  5.45
98084  20 45 21.1  57 34 47  4.51
98134  20 47 10.8  34 22 27  4.92
98149  20 45 17.4  61 50 20  3.43
98151  20 46 38.5  46 31 54  6.30
98181  20 46 21.2  52 59 43  6.33
98183  20 47 24.5  36 29 27  4.53
98191  22 6 26.2  -13 52 11  4.27
98230  11 18 10.9  31 31 45  4.87
98231  11 18 11.0  31 31 45  4.41
98236  20 44 33.1  69 45 7  6.41
98237  20 47 20.8  45 34 47  6.40
98262  11 18 28.7  33 5 39  3.48
98280  11 18 21.0  11 59 5  6.66
98345  20 47 49.3  47 49 55  5.57
98353  11 19 07.9  38 11 8  4.78
98387  20 47 52.8  52 24 26  6.27
98478  20 48 56.3  46 6 51  4.84
98499  11 20 53.8  67 6 2  6.21
98513  20 48 42.7  51 54 38  6.29
98552  22 10 42.5  -75 52 50  6.55
98572  12 39 14.5  -75 22 10  6.49
98601  12 38 04.4  3 16 57  6.33
98625  20 49 54.7  46 39 40  6.33
98639  20 50 04.9  44 3 34  5.04
98672  12 38 52.5  -67 11 35  6.25
98673  11 21 49.3  57 4 30  6.43
98726  20 51 28.2  28 15 2  5.77
98772  11 22 51.3  64 19 50  6.02
98781  20 49 17.4  64 2 32  6.45
98809  20 52 07.7  27 5 49  4.59
98820  20 52 00.3  32 50 57  6.44
98839  11 22 49.6  43 28 58  4.99
98961  12 38 22.4  1 51 17  5.71
98976  20 53 07.4  29 38 58  6.34
99028  11 23 55.5  10 31 45  3.94
99081  20 53 14.8  44 23 14  4.78
99095  20 42 35.2  82 31 52  5.75
99098  20 53 18.6  45 10 55  5.45
99099  20 53 26.4  42 24 37  6.66
99101  20 53 53.9  33 26 16  5.47
99140  20 54 22.4  28 31 19  6.56
99141  12 38 30.0  6 59 18  7.08
99169  20 54 33.6  28 3 27  5.01
