n°HD  RA_h RA_m RA_s  DEC_d DEC_m DEC_s  Mv
3411  0 37 07.2  24 0 51  6.47
3421  0 37 21.1  35 23 58  5.48
3431  11 32 47.5  -7 49 39  5.95
3439  21 21 22.0  32 36 46  6.04
3440  0 39 47.3  82 29 38  6.40
3443  0 37 20.7  -24 46 2  5.57
3444  0 36 37.4  -65 7 29  6.42
3454  21 21 01.4  40 20 44  6.40
3457  0 37 30.5  3 8 7  6.39
3467  21 19 22.2  64 52 19  5.18
3483  11 55 05.7  46 28 37  6.54
3488  0 37 18.1  -54 23 39  6.41
3498  11 55 11.2  46 28 11  7.03
3500  11 55 14.1  36 45 23  6.49
3501  21 13 21.5  81 13 51  6.15
3546  0 38 33.3  29 18 42  4.37
3574  0 39 09.9  49 21 16  5.43
3574  21 20 33.5  60 45 25  6.11
3578  11 55 40.5  15 38 48  5.53
3605  11 55 58.4  56 35 55  5.84
3627  0 39 19.7  30 51 39  3.27
3630  21 22 41.9  30 18 35  6.05
3644  21 22 00.4  49 23 20  5.69
3651  0 39 21.8  21 15 2  5.87
3652  21 5 14.2  -54 43 38  5.16
3690  0 39 55.6  21 26 18  5.36
3696  21 22 46.9  38 38 3  6.63
3712  0 40 30.5  56 32 14  2.23
3719  0 38 40.8  -73 8 14  6.85
3735  0 39 57.9  -33 57 42  6.69
3736  11 56 53.2  61 32 57  6.22
3750  0 39 52.0  -44 47 48  6.01
3751  21 3 03.0  1 31 55  6.25
3782  11 32 48.1  -40 26 11  5.64
3784  21 23 23.0  37 24 24  6.58
3794  0 40 28.6  -16 31 1  6.49
3795  0 40 32.9  -23 48 16  6.14
3799  11 57 14.6  40 20 37  6.62
3803  21 23 58.8  24 16 27  5.71
3807  0 40 42.4  -4 21 7  5.91
3817  0 41 07.2  39 27 31  5.33
3822  11 32 19.9  -66 57 44  5.90
3823  0 40 26.4  -59 27 16  5.89
3856  0 42 03.4  66 8 51  5.83
3857  21 23 48.3  37 21 5  6.47
3858  21 24 07.4  25 18 44  6.15
3883  0 41 36.0  24 37 45  6.04
3886  21 24 23.1  24 31 44  6.32
3901  0 42 03.9  50 30 45  4.80
3919  0 41 19.6  -46 5 6  4.59
3924  0 42 31.1  58 45 12  6.17
3925  21 24 34.0  26 10 28  5.68
3928  11 58 07.2  32 16 26  6.42
3932  11 32 54.1  -31 5 14  5.04
3953  11 58 20.6  61 27 53  6.76
3980  0 41 46.4  -56 30 6  5.70
4058  0 43 28.1  47 1 29  4.94
4065  0 42 42.9  -38 27 48  6.06
4072  11 33 00.1  -31 51 28  3.54
4075  11 59 17.6  33 10 3  5.96
4088  0 42 41.8  -60 15 45  5.98
4089  0 42 28.4  -65 28 5  5.39
4128  0 43 35.4  -17 59 12  2.04
4131  21 24 55.5  49 19 24  6.58
4142  0 44 26.4  47 51 51  5.67
4145  0 43 50.2  -12 0 42  6.02
4150  0 43 21.2  -57 27 47  4.36
4153  21 25 19.6  46 42 52  5.60
4161  0 45 39.0  74 59 17  5.66
4172  21 25 47.0  36 40 3  5.94
4179  11 59 57.2  34 2 6  6.50
4180  0 44 43.5  48 17 4  4.54
4181  11 33 14.6  -16 16 50  6.05
4188  0 44 11.4  -10 36 34  4.76
4211  0 44 12.1  -38 25 18  5.90
4216  12 0 18.6  80 51 11  6.17
4222  0 45 17.2  55 13 18  5.42
4247  0 44 44.4  -22 0 22  5.24
4293  0 44 57.1  -42 40 36  5.94
4294  0 44 32.3  -62 29 52  6.07
4295  0 46 39.0  69 19 30  6.33
4301  0 45 24.1  -4 37 45  6.15
4301  21 3 01.8  14 43 48  6.31
4304  0 45 00.0  -53 42 54  6.15
4307  0 45 28.7  -12 52 51  6.15
4321  0 46 15.1  55 18 19  6.52
4335  0 46 10.9  44 51 41  6.05
4338  0 45 41.7  -16 25 27  6.47
4362  0 46 42.4  59 34 28  6.39
4382  0 47 46.1  74 50 51  5.41
4391  0 45 45.6  -47 33 6  5.80
4398  0 46 11.8  -22 31 19  5.50
4403  21 27 21.4  37 7 0  5.31
4408  0 46 33.0  15 28 32  5.38
4411  21 26 51.6  48 50 6  5.31
4414  21 27 40.1  27 36 31  5.41
4428  21 26 45.0  52 53 55  6.03
4438  12 1 39.5  36 2 31  5.59
4440  0 48 09.1  72 40 30  5.87
4482  0 47 01.5  11 58 26  5.50
4485  21 28 08.3  32 13 31  5.80
4490  0 47 13.6  19 34 44  6.13
4502  0 47 20.3  24 16 2  4.06
4513  12 2 06.8  43 2 44  5.21
4526  0 47 23.6  6 44 27  5.99
4568  0 47 54.8  20 55 31  6.54
4585  0 47 43.3  -18 3 41  5.70
4585  21 28 59.9  22 10 46  5.93
4599  21 27 25.3  59 45 0  6.10
4614  0 49 06.0  57 48 57  3.44
4622  0 48 01.1  -21 43 21  5.57
4627  0 48 17.4  7 18 0  5.93
4628  0 48 23.0  5 16 50  5.75
4636  0 48 50.1  50 58 6  4.89
4656  0 48 41.0  7 35 6  4.43
4676  0 48 58.7  16 56 26  5.07
4724  21 29 56.9  23 38 20  4.57
4727  0 49 48.8  41 4 44  4.53
4730  0 49 25.6  -13 33 41  5.59
4732  0 49 13.9  -24 8 11  5.90
4737  0 48 56.7  -46 41 52  6.27
4754  21 28 52.7  55 25 7  6.12
4757  0 49 52.8  27 42 39  7.0
4758  0 49 53.2  27 42 37  7.1
4770  21 27 46.1  66 48 33  5.44
4771  21 29 27.0  46 32 26  5.24
4772  0 49 33.4  -23 21 42  6.28
4775  0 50 43.6  64 14 51  5.39
4778  0 50 18.3  45 0 8  6.15
4813  0 50 07.6  -10 38 40  5.19
4815  0 48 35.4  -74 55 24  5.07
4817  0 51 16.4  61 48 21  6.07
4818  0 50 57.4  51 30 29  6.39
4827  12 4 16.6  21 27 33  5.87
4849  0 50 03.7  -43 23 41  6.48
4853  0 54 53.1  83 42 26  5.62
4881  0 51 33.7  51 34 16  6.21
4904  12 4 28.1  85 35 14  6.27
4919  0 50 41.2  -50 59 13  5.22
4928  0 51 18.3  3 23 6  6.37
4932  11 33 37.3  -40 35 13  5.39
4961  21 4 04.6  -5 49 24  7.31
4965  21 30 20.4  52 57 29  6.02
4971  21 4 04.7  -5 49 23  5.89
4985  12 5 15.1  76 54 21  5.80
