ZnI	3018.35
CrI	3018.5
ZrII	3018.53
FeIII	3018.74
ClII	3018.82
CrI	3018.82
LaII	3018.95
FeI	3018.98
V II	3019.09
NiI	3019.14
FeI	3019.29
ScI	3019.35
RhII	3019.82
ZrII	3019.84
FeII	3020
ZrII	3020.45
FeI	3020.5
HfI	3020.54
FeI	3020.64
V II	3020.65
CrI	3020.67
FeI	3021.07
FeII	3021.41
CrI	3021.56
PdI	3021.74
Y I	3021.74
V I	3021.78
ZrII	3021.97
W II	3021.98
FeIII	3022
V II	3022.15
LaII	3022.26
Y I	3022.28
V II	3022.57
CeIII	3022.74
MnI	3022.75
AlII	3022.8
TiII	3022.82
ClII	3022.93
O III	3023.45
Y II	3023.5
FeI	3023.58
N II	3023.8
FeIII	3023.85
FeII	3023.86
TiII	3023.86
V II	3023.88
FeI	3024.03
ArIII	3024.05
AlII	3024.1
AlII	3024.11
CrI	3024.35
O III	3024.36
CoI	3024.4
W II	3024.51
O III	3024.57
CrI	3024.68
ZrII	3024.72
HfII	3024.78
FeII	3024.92
V II	3024.98
ZrII	3025.16
FeI	3025.28
HfII	3025.29
CrI	3025.4
FeI	3025.64
V II	3025.68
ZrII	3025.7
O II	3025.75
FeI	3025.84
FeII	3025.99
ZrII	3026.18
CoI	3026.37
NiVIII	3026.4
FeI	3026.46
Y II	3026.47
CrII	3026.65
ArII	3026.75
AlII	3026.78
AlII	3026.78
CrII	3026.85
FeIII	3026.99
NeII	3027.04
FeII	3027.38
FeIII	3027.46
V II	3027.6
GdII	3027.6
Y II	3027.75
PdI	3027.92
O IV	3028.04
V II	3028.04
ZrII	3028.05
CrII	3028.13
NbII	3028.44
RhII	3028.61
CaIII	3028.66
O II	3028.82
NeII	3028.84
ArII	3028.93
GdII	3028.98
MnII	3029.04
CrI	3029.16
FeI	3029.24
NiI	3029.3
ZrI	3029.52
V II	3029.56
FeII	3029.68
TiII	3029.73
SbI	3029.83
FeI	3030.15
Y II	3030.21
CrI	3030.25
FeI	3030.61
FeI	3030.76
ScI	3030.77
NeII	3030.85
ZrII	3030.91
V I	3031.01
HfII	3031.16
FeI	3031.21
CrI	3031.35
CrI	3031.49
CeIII	3031.56
CrII	3031.63
FeII	3031.63
FeI	3031.64
NiI	3031.87
ZrII	3032
O II	3032.08
V II	3032.19
NiII	3032.44
O II	3032.5
NbII	3032.77
GdII	3032.85
AsI	3032.85
CrII	3032.93
FeI	3033.1
FeII	3033.45
V II	3033.45
ArII	3033.52
MnII	3033.59
V II	3033.82
CrII	3034.05
GdII	3034.05
SnI	3034.12
CrI	3034.19
O III	3034.32
CoI	3034.43
NeII	3034.48
FeI	3034.51
CrII	3034.54
F III	3034.54
FeII	3034.71
SiIII	3034.74
MnII	3034.81
NbII	3034.95
CrII	3034.99
RhII	3035.01
V II	3035.14
FeI	3035.25
NiVIII	3035.3
O III	3035.43
ZnI	3035.78
FeIII	3035.8
NaII	3035.98
V II	3036.07
CuI	3036.1
ZrII	3036.33
ZrII	3036.39
ZrII	3036.5
Y II	3036.59
W II	3036.68
TiII	3036.78
FeII	3036.99
CrI	3037.04
SiIII	3037.26
FeI	3037.39
NeII	3037.73
CeII	3037.73
FeI	3037.78
NiI	3037.94
ArIV	3037.98
ClII	3037.98
V II	3038
CrII	3038.04
NiVII	3038.3
NiVII	3038.4
CrII	3038.52
V II	3038.52
ZrII	3038.59
TiII	3038.71
FeII	3038.78
GeI	3039.06
F III	3039.25
FeI	3039.32
O II	3039.51
MnII	3039.55
CoI	3039.56
NeII	3039.65
C II	3039.67
CrI	3039.74
F III	3039.75
O II	3039.76
V II	3039.77
CrI	3039.78
ScII	3039.92
GdII	3040.34
FeI	3040.43
MnI	3040.6
CoI	3040.81
FeII	3040.83
CrI	3040.85
CrII	3040.92
SiIII	3040.93
MnI	3041.22
AlII	3041.28
V II	3041.42
FeI	3041.64
CrII	3041.74
FeI	3041.75
V I	3041.86
W I	3041.88
FeI	3042.02
V II	3042.27
MnII	3042.44
CoI	3042.48
MnII	3042.61
PtI	3042.65
FeI	3042.67
MnI	3042.73
CrII	3042.79
O III	3043.02
FeIII	3043.07
V I	3043.12
MnII	3043.13
MnI	3043.14
FeII	3043.31
MnI	3043.36
FeIII	3043.44
V II	3043.54
V I	3043.56
MnI	3043.77
TiII	3043.85
CrII	3043.9
CoI	3044
CoI	3044.04
ZrII	3044.12
NeII	3044.16
CrII	3044.24
FeIII	3044.44
MnII	3044.52
MnI	3044.57
FeII	3044.84
V I	3044.94
ClII	3045
NiI	3045.01
FeI	3045.08
TiII	3045.09
FeII	3045.31
Y I	3045.36
CrII	3045.53
NeII	3045.58
MnI	3045.59
NaII	3045.59
FeI	3045.59
ScII	3045.71
MnI	3045.81
ZrI	3045.82
FeIII	3045.88
HfII	3046.03
ArII	3046.1
MnII	3046.27
FeIII	3046.4
W I	3046.45
FeII	3046.68
TiII	3046.69
FeIII	3046.71
FeI	3046.82
FeI	3046.93
MnI	3047.04
FeI	3047.05
FeIII	3047.12
O III	3047.13
RhII	3047.16
FeI	3047.2
CrI	3047.46
NeII	3047.57
FeII	3047.6
FeI	3047.61
CrII	3047.63
CrII	3047.76
O II	3047.9
CoI	3048.11
V II	3048.21
ZrII	3048.28
ZrII	3048.42
V II	3048.65
TiII	3048.77
NiVII	3048.8
MnI	3048.86
CoI	3048.89
V II	3048.89
FeII	3049.01
MnII	3049.03
MnII	3049.05
FeII	3049.18
LaII	3049.39
C II	3049.44
W I	3049.69
CrI	3049.88
AlI	3050.07
CrII	3050.14
V I	3050.4
FeIII	3050.46
