08845   5.0  1.5  0.0  7.0 v   4.20
08846   2.8  2.6  0.0  5.5 v   5.70
08874   6.0  2.4  0.0  5.5 v   5.20
08884   0.3  0.9  0.9  8.0 v   1.50
08897   6.0  2.4  0.0  7.5 v   6.20
08916   4.0  2.0  0.0  5.0 d  10.00
08923   2.0  1.0  0.0  7.5 v   2.10
08924   6.0  2.4  0.0  6.0 v   4.50
08956   1.5  1.5  0.0  6.0 v   2.30
09013   6.0  2.4  0.0  5.0 v   6.00
09022   2.0  1.0  0.0  6.5 v   2.20
09023   6.0  2.4  0.0  5.0 v   4.70
09044   6.0  2.4  0.0  6.0 v   4.60
09057   1.3  1.0  0.0  9.0 v   1.90
09062   6.0  2.4  0.0  6.5 v   4.90
09063   3.0  0.0  0.0  6.5 v   6.00
09415   6.4  1.7  0.0  6.5 v   7.00
09443   2.0  1.0  0.0  6.5 v   2.20
09444   6.0  2.4  0.0  6.0 v   4.90
09468   1.0  0.0  0.0  8.3 d   0.22
09481   5.0  1.5  0.0  6.5 v   4.30
09482   2.8  2.6  0.0  5.5 v   8.30
09486   2.0  2.0  0.0  6.0 v   3.20
09494   2.0  2.0  0.0  7.0 v   3.10
09510   6.0  2.4  0.0  5.5 v   5.20
09598   6.0  2.4  0.0  5.0 v   6.50
09613   6.0  2.4  0.0  5.5 v   4.60
09634   3.0  0.0  0.0  7.0 v   4.90
09638   6.0  2.4  0.0  7.5 v   4.30
09661   5.0  1.5  0.0  6.0 v   5.80
09662   2.8  2.6  0.0  5.5 v   6.30
09738   6.0  2.4  0.0  5.5 v   4.90
09786   5.9  2.4  0.0  5.5 v  12.00
09803   4.0  2.0  0.0  5.5 v  10.00
09848   6.0  2.4  0.0  6.0 v   5.00
09903   5.0  1.5  0.0  5.5 v   4.60
09904   2.8  2.6  0.0  5.0 v   8.40
10011   6.0  2.4  0.0  5.0 v   5.10
10020   6.0  2.4  0.0  7.0 v   4.90
10025   8.6  3.0  0.0  3.5 v  20.00
10033   6.4  1.7  0.0  6.5 v   7.00
10062   6.0  1.4  0.0  5.0 v   9.20
10095   2.0  0.0  0.0  7.0 v   3.50
10096   2.6  2.2  0.0  5.0 v   3.70
10114   2.8  2.6  0.0  5.5 v   5.90
10120   2.0  1.0  0.0  7.5 v   2.00
10121   6.0  2.4  0.0  5.5 v   4.90
10138   6.0  2.4  0.0  6.0 v   4.70
10142   6.0  2.4  0.0  6.5 v   5.30
10144   2.5  0.0  0.0  6.5 v   5.20
10184   3.3  0.0  0.0  6.5 v   4.50
10234   1.2  0.0  0.0  7.5 v   1.30
10246   1.2  0.0  0.0  8.0 v   1.00
10293   6.0  2.4  0.0  5.5 v   6.20
10295   6.4  2.0  0.0  6.5 v  10.00
10309   1.2  0.0  0.0  8.0 v   0.89
10355   6.0  2.4  0.0  6.0 v   4.50
10358   2.0  2.0  0.0  6.0 v   2.90
10461   6.0  2.4  0.0  5.5 v   6.20
10490   6.0  1.4  0.0  5.0 v  10.00
10492   6.0  2.4  0.0  5.5 v   5.10
10502   0.3  0.9  0.9  7.5 v   2.00
10513   6.0  2.4  0.0  5.5 v   5.70
10514   5.0  1.5  0.0  6.0 v   4.80
